Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
205,30.38004779815674,2322.0,1,1,1127,253,255,900,small,False
206,29.20940589904785,2384.0,1,1,678,79,255,600,small,False
207,20.275162935256958,1901.0,1,1,690,79,255,100,small,False
208,22.91085195541382,1645.0,1,1,1419,253,255,400,small,False
209,27.68048644065857,1914.0,1,1,678,85,255,600,small,False
210,23.74042248725891,2031.0,1,1,1415,252,255,400,small,False
211,58.7428412437439,2269.0,1,1,312,79,255,400,small,False
212,25.424282550811768,1469.0,1,1,1419,253,255,300,small,False
213,37.47514748573303,2710.0,1,1,1126,251,255,900,small,False
214,31.360445499420166,1645.0,1,1,293,79,255,700,small,False
215,77.3135757446289,482.0,1,1,722,79,2,400,small,False
216,33.447896242141724,1608.0,1,1,1410,255,255,400,small,False
217,19.80022382736206,1484.0,1,1,722,79,255,0,small,False
218,77.40510869026184,1332.0,1,1,722,79,0,300,small,False
219,31.765526294708252,2217.0,1,1,1434,253,255,400,small,False
220,46.3686900138855,2559.0,1,1,1415,254,255,900,small,False
221,15.344980001449585,1532.0,1,1,1123,253,255,300,small,False
222,32.11275243759155,1642.0,1,1,898,79,255,300,small,False
223,59.89977025985718,2017.0,1,1,1423,255,255,0,small,False
224,15.116132259368896,1113.0,1,1,316,79,255,500,small,False
225,34.18590545654297,2327.0,1,1,1122,253,255,800,small,False
226,57.81737041473389,2987.0,1,1,2475,251,255,500,small,False
227,24.500528812408447,2039.0,1,1,1418,252,255,700,small,False
228,31.685182332992554,1781.0,1,1,1412,255,255,600,small,False
229,23.18574571609497,1630.0,1,1,1410,251,255,200,small,False
230,43.09499979019165,1725.0,1,1,861,79,255,600,small,False
231,47.674219608306885,1145.0,1,1,819,79,255,200,small,False
232,81.70055794715881,1958.0,1,1,612,141,0,300,small,False
233,81.73720216751099,2110.0,1,1,898,134,0,400,small,False
234,23.95693850517273,1202.0,1,1,312,79,255,100,small,False
235,6.647897958755493,742.0,1,1,308,79,255,0,small,False
236,30.401297092437744,1281.0,1,1,312,84,255,300,small,False
237,20.3755784034729,1303.0,1,1,898,79,255,200,small,False
238,9.08134937286377,688.0,1,1,256,79,255,0,small,False
239,80.78087878227234,1168.0,1,1,898,79,0,400,small,False
240,22.742007732391357,1238.0,1,1,838,85,255,200,small,False
