Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
205,30.7284255027771,380.0,1,1,720,109,2,200,small,False
206,0.8052606582641602,234.0,1,1,40,79,1,0,small,False
207,1.742121696472168,635.0,1,1,40,79,1,0,small,False
208,29.75865077972412,1086.0,1,1,1320,79,1,300,small,False
209,30.721490383148193,382.0,1,1,722,111,2,100,small,False
210,0.7084813117980957,249.0,1,1,40,79,1,0,small,False
211,18.852500200271606,1190.0,1,1,1320,79,1,300,small,False
212,18.3265323638916,1207.0,1,1,1320,79,1,400,small,False
213,0.867861270904541,241.0,1,1,40,79,1,200,small,False
214,3.456390380859375,741.0,1,1,40,79,1,200,small,False
215,25.433143138885498,821.0,1,1,40,79,1,600,small,False
216,10.231122970581055,715.0,1,1,40,79,1,500,small,False
217,0.6595056056976318,247.0,1,1,40,79,1,0,small,False
218,0.7070634365081787,251.0,1,1,40,79,1,0,small,False
219,19.62777328491211,562.0,1,1,40,79,1,100,small,False
220,30.427051067352295,558.0,1,1,898,110,2,500,small,False
221,14.540721416473389,644.0,1,1,40,79,1,100,small,False
222,9.38233733177185,534.0,1,1,40,79,1,100,small,False
223,12.327237844467163,723.0,1,1,40,79,1,200,small,False
224,11.142141819000244,671.0,1,1,40,79,1,200,small,False
225,6.343038082122803,781.0,1,1,40,79,1,200,small,False
226,12.885563850402832,717.0,1,1,40,79,1,300,small,False
227,30.60930371284485,558.0,1,1,898,99,2,300,small,False
228,25.04855513572693,599.0,1,1,40,79,1,200,small,False
229,0.6989865303039551,249.0,1,1,40,79,1,0,small,False
230,0.6619839668273926,245.0,1,1,40,79,1,0,small,False
231,0.8109872341156006,226.0,1,1,40,79,1,200,small,False
232,25.862496852874756,1111.0,1,1,1320,79,1,400,small,False
233,2.951613187789917,626.0,1,1,40,79,1,100,small,False
234,17.576146841049194,2525.0,1,1,1320,79,1,1200,small,False
235,4.379801034927368,578.0,1,1,40,79,1,100,small,False
236,30.52695083618164,382.0,1,1,722,108,2,200,small,False
237,30.65318989753723,558.0,1,1,898,102,2,300,small,False
238,30.513805150985718,558.0,1,1,898,93,2,400,small,False
239,21.32784342765808,635.0,1,1,40,79,1,400,small,False
240,6.98538064956665,599.0,1,1,40,79,1,200,small,False
241,5.609882831573486,687.0,1,1,40,79,1,0,small,False
242,2.825199604034424,627.0,1,1,40,79,1,200,small,False
243,0.6720077991485596,247.0,1,1,40,79,1,0,small,False
244,30.533605337142944,557.0,1,1,897,103,2,300,small,False
245,10.905836582183838,962.0,1,1,40,79,1,500,small,False
246,30.43082284927368,558.0,1,1,898,93,2,600,small,False
247,4.014894723892212,804.0,1,1,40,79,1,0,small,False
248,30.47123408317566,558.0,1,1,898,79,2,500,small,False
249,3.3709659576416016,565.0,1,1,40,79,1,0,small,False
250,30.664888381958008,382.0,1,1,722,110,2,300,small,False
251,0.6956555843353271,246.0,1,1,40,79,1,0,small,False
252,5.753171682357788,611.0,1,1,40,79,1,0,small,False
253,0.832878828048706,242.0,1,1,40,79,1,0,small,False
254,4.678667306900024,598.0,1,1,40,79,1,200,small,False
255,6.3251731395721436,780.0,1,1,40,79,1,200,small,False
256,30.704930543899536,382.0,1,1,722,79,2,200,small,False
257,0.7890470027923584,239.0,1,1,40,79,1,0,small,False
258,25.157459020614624,1718.0,1,1,1320,79,1,1400,small,False
259,3.0699961185455322,637.0,1,1,40,79,1,0,small,False
260,7.457279443740845,769.0,1,1,40,79,1,300,small,False
261,5.483386993408203,614.0,1,1,40,79,1,200,small,False
262,30.423276662826538,558.0,1,1,898,112,2,500,small,False
263,10.922187089920044,737.0,1,1,40,79,1,300,small,False
264,0.7280018329620361,233.0,1,1,40,79,1,0,small,False
265,30.69625186920166,382.0,1,1,722,79,2,200,small,False
266,10.388637065887451,742.0,1,1,40,79,1,200,small,False
267,4.849009037017822,620.0,1,1,40,79,1,100,small,False
268,30.373765230178833,558.0,1,1,898,79,2,400,small,False
269,13.697365283966064,623.0,1,1,40,79,1,300,small,False
270,30.8146014213562,382.0,1,1,722,104,2,200,small,False
271,5.341845273971558,737.0,1,1,40,79,1,400,small,False
272,11.365572929382324,645.0,1,1,40,79,1,200,small,False
273,26.404227018356323,833.0,1,1,40,79,1,400,small,False
274,28.3663969039917,1103.0,1,1,1320,79,1,400,small,False
275,25.408417463302612,2168.0,1,1,1320,79,1,800,small,False
276,30.510162591934204,558.0,1,1,898,79,2,400,small,False
277,20.279419898986816,594.0,1,1,40,79,1,300,small,False
278,0.6949977874755859,234.0,1,1,40,79,1,0,small,False
279,30.772032976150513,382.0,1,1,722,89,2,200,small,False
280,1.9707496166229248,599.0,1,1,40,79,1,0,small,False
281,4.420816421508789,607.0,1,1,40,79,1,0,small,False
282,30.739397048950195,382.0,1,1,722,89,2,400,small,False
283,30.70715856552124,558.0,1,1,898,113,2,600,small,False
284,30.741540670394897,382.0,1,1,722,93,2,100,small,False
285,30.676790714263916,382.0,1,1,722,109,2,100,small,False
286,23.958471298217773,1116.0,1,1,1320,79,1,200,small,False
287,30.74642324447632,382.0,1,1,722,89,2,200,small,False
288,0.790083646774292,245.0,1,1,40,79,1,0,small,False
289,0.5618581771850586,252.0,1,1,40,79,1,0,small,False
290,1.9911413192749023,631.0,1,1,40,79,1,0,small,False
