Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
218,41.16941046714783,626.0,1,1,40,79,1,500,small,False
219,15.98374342918396,626.0,1,1,40,79,1,400,small,False
220,7.454470157623291,608.0,1,1,40,79,1,0,small,False
221,21.869040489196777,611.0,1,1,40,79,1,0,small,False
222,2.6835711002349854,247.0,1,1,40,79,1,0,small,False
223,7.983837366104126,647.0,1,1,40,79,1,100,small,False
224,8.095481395721436,632.0,1,1,40,79,1,0,small,False
225,3.1012094020843506,231.0,1,1,40,79,1,0,small,False
226,63.83421540260315,631.0,1,1,40,79,1,500,small,False
227,10.736076354980469,640.0,1,1,40,79,1,0,small,False
228,10.723419189453125,640.0,1,1,40,79,1,0,small,False
229,13.061033964157104,706.0,1,1,40,79,1,500,small,False
230,38.20459723472595,976.0,1,1,40,79,1,500,small,False
231,2.7171695232391357,244.0,1,1,40,79,1,0,small,False
232,15.916738033294678,625.0,1,1,40,79,1,0,small,False
233,22.45474410057068,771.0,1,1,40,79,1,100,small,False
234,23.686281204223633,1288.0,1,1,1320,79,1,500,small,False
235,10.092546701431274,640.0,1,1,40,79,1,0,small,False
236,2.279961585998535,251.0,1,1,40,79,1,0,small,False
237,23.0596604347229,781.0,1,1,40,79,1,400,small,False
238,23.657590866088867,1003.0,1,1,40,79,1,200,small,False
239,5.473418712615967,620.0,1,1,40,79,1,200,small,False
240,16.011947870254517,1037.0,1,1,40,79,1,200,small,False
241,14.814571380615234,1055.0,1,1,40,79,1,200,small,False
242,18.59831142425537,1849.0,1,1,1320,79,1,300,small,False
243,8.254344940185547,630.0,1,1,40,79,1,0,small,False
244,2.296570062637329,243.0,1,1,40,79,1,0,small,False
245,13.598995685577393,1037.0,1,1,40,79,1,400,small,False
246,6.137040615081787,628.0,1,1,40,79,1,300,small,False
247,2.8718695640563965,227.0,1,1,40,79,1,200,small,False
248,11.362841129302979,638.0,1,1,40,79,1,200,small,False
249,6.348952531814575,605.0,1,1,40,79,1,200,small,False
250,13.346994638442993,807.0,1,1,40,79,1,200,small,False
251,10.6720871925354,640.0,1,1,40,79,1,0,small,False
252,2.3463757038116455,243.0,1,1,40,79,1,0,small,False
253,61.73473024368286,1205.0,1,1,1320,79,1,200,small,False
254,18.255253076553345,1318.0,1,1,1320,79,1,300,small,False
255,12.507221460342407,635.0,1,1,40,79,1,200,small,False
256,2.691878080368042,236.0,1,1,40,79,1,0,small,False
257,10.082846879959106,734.0,1,1,40,79,1,0,small,False
