Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
180,0,0.7068991661071777,223.48,1,1,40,79,1,0,small,False
181,0,0.7286174297332764,223.48,1,1,40,79,1,0,small,False
182,0,0.6842730045318604,223.48,1,1,40,79,1,0,small,False
183,0,0.728954553604126,223.48,1,1,40,79,1,0,small,False
184,0,0.6976742744445801,223.48,1,1,40,79,1,0,small,False
185,0,0.6840741634368896,223.48,1,1,40,79,1,0,small,False
186,0,0.6742818355560303,223.48,1,1,40,79,1,0,small,False
187,0,0.6806020736694336,223.48,1,1,40,79,1,0,small,False
188,0,0.6834254264831543,223.48,1,1,40,79,1,0,small,False
189,0,0.6721479892730713,223.48,1,1,40,79,1,0,small,False
190,0,0.6852991580963135,223.48,1,1,40,79,1,0,small,False
191,0,0.6812832355499268,223.48,1,1,40,79,1,0,small,False
192,0,0.6723072528839111,223.48,1,1,40,79,1,0,small,False
193,0,0.6954548358917236,223.48,1,1,40,79,1,0,small,False
194,0,0.7422220706939697,223.48,1,1,40,79,1,0,small,False
195,0,0.6985158920288086,223.48,1,1,40,79,1,0,small,False
196,0,0.6832582950592041,223.48,1,1,40,79,1,0,small,False
197,0,0.686192512512207,223.48,1,1,40,79,1,0,small,False
198,0,0.6829032897949219,223.48,1,1,40,79,1,0,small,False
199,0,0.6828961372375488,223.48,1,1,40,79,1,0,small,False
200,0,0.6883158683776855,223.48,1,1,40,79,1,0,small,False
201,0,0.6947457790374756,223.48,1,1,40,79,1,0,small,False
202,0,0.6767780780792236,223.48,1,1,40,79,1,0,small,False
203,0,0.6943247318267822,223.48,1,1,40,79,1,0,small,False
204,0,0.694359302520752,223.48,1,1,40,79,1,0,small,False
205,0,0.6828186511993408,223.48,1,1,40,79,1,0,small,False
206,0,0.6878368854522705,223.48,1,1,40,79,1,0,small,False
207,0,0.6882007122039795,223.48,1,1,40,79,1,0,small,False
208,0,0.6709532737731934,223.48,1,1,40,79,1,0,small,False
209,0,0.6901051998138428,223.48,1,1,40,79,1,0,small,False
210,0,0.6836960315704346,223.48,1,1,40,79,1,0,small,False
211,0,0.674523115158081,223.48,1,1,40,79,1,0,small,False
212,0,0.6860067844390869,223.48,1,1,40,79,1,0,small,False
213,0,0.6809771060943604,223.48,1,1,40,79,1,0,small,False
214,0,0.6777844429016113,223.48,1,1,40,79,1,0,small,False
215,0,0.6760745048522949,223.48,1,1,40,79,1,0,small,False
216,0,0.6710352897644043,223.48,1,1,40,79,1,0,small,False
217,0,0.6749083995819092,223.48,1,1,40,79,1,0,small,False
218,0,0.6845564842224121,223.48,1,1,40,79,1,0,small,False
219,0,0.6737809181213379,223.48,1,1,40,79,1,0,small,False
220,0,0.675239086151123,223.48,1,1,40,79,1,0,small,False
221,0,0.7002251148223877,223.48,1,1,40,79,1,0,small,False
222,0,0.6756980419158936,223.48,1,1,40,79,1,0,small,False
